53.345831999999994 -6.26051, Buskers Bar
53.345904000000004 -6.2596276, The Palace Bar
53.34601239999999 -6.259458400000001, O'Sullivan's
53.34635 -6.258875499999999, Cassidy's (A)
53.3465537 -6.2588386, Lafayette
53.3468848 -6.2584276, River Bar
53.3469782 -6.2582005999999994, J.W. Sweetman Craft Brewery
53.34663760000001 -6.2596538, Fitzgerald's
53.3462348 -6.261398000000001, Gypsy Rose Rock and Blues Bar
53.3455629 -6.2619775, The Auld Dubliner
53.34555279999999 -6.2617095, The Oliver St John Gogarty
53.345849 -6.2633708, Ha'penny Bridge Inn
53.345846200000004 -6.2632718, The Morgan
53.3456404 -6.2634165, The Quays Bar
53.345457999999994 -6.2632617, Bad Ass Cafe
53.345466200000004 -6.264202500000001, The Temple Bar
53.344976 -6.264474, Button Factory
53.34494300000001 -6.264337, Crowbar
53.344679299999996 -6.2646857, The Mezz
53.34533570000001 -6.2647857, The Norseman
53.3454409 -6.2651087, Fitzsimon's
53.3450328 -6.2659898, Bad Bobs Temple Bar
53.3451402 -6.2662914, The Garage Bar
53.345105000000004 -6.267169, Roberta's Bar and Restaurant
53.344793200000005 -6.2676803, Turk's Head
53.344913299999995 -6.2679467, The Czech Inn
53.34512829999999 -6.2674278, Porterhouse
53.345307999999996 -6.2671117999999995, The Liquor Rooms
53.3453414 -6.2668315, The Workman's Club
53.34535079999999 -6.266702400000001, Bison bar
53.3463804 -6.2682306, Jack Nealon
53.346610899999995 -6.2677926, Panti Bar
53.347373700000006 -6.2685996, The Boar's Head
53.347763199999996 -6.2687542, J. McNeill
53.3482745 -6.2689364, Slattery's (A)
53.34819279999999 -6.270232099999999, Hacienda Bar
53.3492625 -6.2704645999999995, The Capel
53.349785600000004 -6.2691542, The Black Sheep
53.3502723 -6.2671225999999995, The Woolshed
53.348584499999994 -6.266964, The Church
53.347476 -6.265962, T.P.Smiths
53.3478458 -6.2634400999999995, Gin Palace
53.34736410000001 -6.2633612, The Lotts Café Bar
53.3468527 -6.2635290999999995, The Grand Social
53.3459235 -6.262875, Merchant's Arch
53.345127500000004 -6.262696099999999, The Old Storehouse
53.3450767 -6.2629605, Vintage Cocktail Club
53.3448128 -6.262330400000001, Club M
53.34462579999999 -6.261985299999999, The Vat House
53.3439718 -6.262527599999999, The Bankers
53.34378340000001 -6.2629135, 4 Dame Lane
53.34381379999999 -6.2635738, The Stag's Head
53.34379499999999 -6.2639138, Dame Tavern
53.3439735 -6.2639343, The Mercantile
53.3443064 -6.263706, Citi Bar
53.3440934 -6.2629657, Mulligan and Haines
53.34445039999999 -6.2634772000000005, Foggy Dew
53.343589 -6.263841, Odessa
53.3431091 -6.2638694, The Exchequer
53.3430838 -6.264139599999999, The Library Bar
53.343109999999996 -6.2635510000000005, Ukiyo Bar
53.343277 -6.264238, Izakaya
53.3433784 -6.2642836, The Globe
53.3437169 -6.264296099999999, J.T. Pims
53.34379379999999 -6.264667500000001, The George
53.344280000000005 -6.2652779999999995, Underground
53.344272 -6.265415, Peadar Kearney's
53.3442904 -6.266391099999999, Brogan's Bar
53.344294999999995 -6.266337, Underdog
53.3442781 -6.266996499999999, The Oak
53.344215000000005 -6.2671595, Thomas Read's
53.344428099999995 -6.267547, The Front Lounge
53.3443688 -6.2679333, The Back Lounge
53.3440629 -6.2685415, Forum Bar
53.343428 -6.2698992, Bull & Castle
53.343956299999995 -6.2699696, Darkey Kelly's
53.344134700000005 -6.2697764000000005, Oscars Christchurch
53.3433255 -6.2734068, The Beer Market
53.3430692 -6.276905, The Thomas House
53.3427402 -6.2772127, Tom Kennedy's
53.3429336 -6.2792108, The Clock
53.342667799999994 -6.2789135, Baker's Bar & Irish Restaurant
53.341683999999994 -6.278673, The Lark Inn
53.3414826 -6.2785349, The Liberty Bar
53.340663600000006 -6.27815, The Fountain
